_id,_name,_industry,_sector,_headquarters,_founded
2494,Tymbark,Consumer goods,Soft drinks,Tymbark,1936
2495,Ursus SA,Automotive inductry,Agricultural machinery,Lublin,1893
2496,Van Pur,Consumer goods,Brewers,Rakszawa[5],1989
2497,Wieliczka Salt Mine,Consumer services,Recreational services,Wieliczka,1252
2498,Wielton,Automotive industry,Utility vehicles,Wielu?,1996
2499,?abka,Consumer services,Food retailers & wholesalers,Pozna?,1998
2500,ZMT SA,Industrials,Defense,Tarn�w,1917
2501,?ubr�wka,Consumer goods,Brewers,Bia?ystok,�
2502,?ywiec Brewery,Consumer goods,Brewers,?ywiec,1856
2503,Altri,Basic materials,Paper,Porto,2005
2504,Ambar � Ideas on Paper S.A.,Industrials,Industrial suppliers,Porto,1939
2505,Banco Comercial Portugu�s,Financials,Banks,Porto,1985
2506,Bial,Health care,Pharmaceuticals,Trofa,1924
2507,Caixa Geral de Dep�sitos,Financials,Banks,Lisbon,1876
2508,Carris,Consumer services,Travel & tourism,Lisbon,1872
2509,Central de Cervejas,Consumer goods,Brewers,Vila Franca de Xira,1934
2510,Chipidea,Technology,Semiconductors,Oeiras,1997
2511,Churchill's Port,Wine making,Port wine,Porto,1981
2512,Ciberbit,Technology,Software,Coimbra,1995
2513,Cimpor,Industrials,Building materials & fixtures,Lisbon,1976
2514,CMS-Helmets,Consumer goods,Clothing & accessories,Anadia,1976
2515,Cofina,Consumer services,Publishing,Porto,1856
2516,Comboios de Portugal,Consumer services,Travel & tourism,Lisbon,1856
2517,Conservas Ramirez,Consumer goods,Food products,Matosinhos,1853
2518,Continente,Consumer services,Food retailers & wholesalers,Matosinhos,1985
2519,Corticeira Amorim,Basic materials,Industrial suppliers,Santa Maria da Feira[11],1870
2520,Critical Software,Technology,Software,Coimbra,1998
2521,"CTT Correios de Portugal, S.A. (CTT)",Industrials,Delivery services,Lisbon,1520
2522,Delta Caf�s,Consumer goods,Food products,Campo Maior,1961
2523,EFACEC,Industrials,Electronic equipment,Matosinhos,1948
2524,Energias de Portugal (EDP),Utilities,Conventional electricity,Lisbon,1976
2525,F�brica Nacional de Muni��es de Armas Ligeiras,Industrials,Defense,Lisbon,1947
2526,Galp Energia,Utilities,Gas distribution,Lisbon,1999
2527,Glintt,Technology,Software,Lisbon,2008
2528,Grupo Jos� de Mello,Conglomerates,-,Lisbon,1986[12]
2529,Iberomoldes,Industrials,General industries,Marinha Grande,1975
2530,Impresa,Consumer services,Media,Oeiras,1972
2531,Jer�nimo Martins,Consumer services,Retail,Lisbon,1792
2532,Lactogal,Consumer goods,Food & beverage,Porto,1996
2533,Logoplaste,Industrials,Diversified industrials,Cascais,1976
2534,Martifer,Industrials,Heavy construction,Oliveira de Frades,1990
2535,Media Capital,Consumer services,Broadcasting & entertainment,Oeiras,1988
2536,Medinfar,Health care,Pharmaceuticals,Lisbon,1970
2537,MEO,Telecommunications,Mobile telecommunications,Lisbon,1991
2538,Montepio,Financials,Banks,Lisbon,1840
2539,Mota-Engil,Industrials,General industries,Porto,1946
2540,Move Interactive,Technology,Software,Cascais,2008
2541,NOS,Telecommunications,Fixed line telecommunications,Lisbon,1994
2542,Novabase,Technology,Software,Lisbon,1989
2543,Novo Banco,Financials,Banks,Lisbon,2014
2544,Pingo Doce,Consumer services,Food retailers & wholesalers,Lisbon,1980
2545,Porto Editora,Consumer services,Publishing,Porto,1944
2546,Portugal Telecom,Telecommunications,Fixed line telecommunications,Lisbon,1994
